#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2NI
#Serial Number: SN:210321AA1EA8
#Date Time: 2020-05-15 16:56:38.755
#Sample rate: 1e+08Hz
#Samples: 4096

Time (s),Bus
-2.461e-05,196
-2.46e-05,196
-2.459e-05,774
-2.458e-05,774
-2.457e-05,774
-2.456e-05,1675
-2.455e-05,1675
-2.454e-05,1675
-2.453e-05,3723
-2.452e-05,3895
-2.451e-05,3022
-2.45e-05,2822
-2.449e-05,4079
-2.448e-05,4079
-2.447e-05,4079
-2.446e-05,2047
-2.445e-05,2047
-2.444e-05,4087
-2.443e-05,3319
-2.442e-05,3963
-2.441e-05,2546
-2.44e-05,2418
-2.439e-05,3319
-2.438e-05,3319
-2.437e-05,3319
-2.436e-05,4029
-2.435e-05,3903
-2.434e-05,4089
-2.433e-05,3963
-2.432e-05,4095
-2.431e-05,4094
-2.43e-05,4094
-2.429e-05,3897
-2.428e-05,3899
-2.427e-05,3901
-2.426e-05,4087
-2.425e-05,3319
-2.424e-05,3319
-2.423e-05,3319
-2.422e-05,3963
-2.421e-05,2546
-2.42e-05,2418
-2.419e-05,1271
-2.418e-05,1271
-2.417e-05,1271
-2.416e-05,4079
-2.415e-05,4079
-2.414e-05,4079
-2.413e-05,4079
-2.412e-05,3863
-2.411e-05,3070
-2.41e-05,2822
-2.409e-05,1675
-2.408e-05,1675
-2.407e-05,1675
-2.406e-05,910
-2.405e-05,3871
-2.404e-05,774
-2.403e-05,774
-2.402e-05,196
-2.401e-05,196
-2.4e-05,196
-2.399e-05,3899
-2.398e-05,196
-2.397e-05,0
-2.396e-05,196
-2.395e-05,196
-2.394e-05,196
-2.393e-05,196
-2.392e-05,774
-2.391e-05,838
-2.39e-05,774
-2.389e-05,1675
-2.388e-05,1675
-2.387e-05,1675
-2.386e-05,2958
-2.385e-05,3871
-2.384e-05,2822
-2.383e-05,2823
-2.382e-05,4079
-2.381e-05,4079
-2.38e-05,4079
-2.379e-05,1271
-2.378e-05,2047
-2.377e-05,4087
-2.376e-05,3583
-2.375e-05,3959
-2.374e-05,2418
-2.373e-05,2419
-2.372e-05,3319
-2.371e-05,3319
-2.37e-05,3319
-2.369e-05,3897
-2.368e-05,4095
-2.367e-05,3897
-2.366e-05,4094
-2.365e-05,4095
-2.364e-05,4094
-2.363e-05,4095
-2.362e-05,3897
-2.361e-05,3899
-2.36e-05,3897
-2.359e-05,3319
-2.358e-05,3327
-2.357e-05,3319
-2.356e-05,3071
-2.355e-05,3959
-2.354e-05,2418
-2.353e-05,2419
-2.352e-05,1271
-2.351e-05,1271
-2.35e-05,1271
-2.349e-05,4079
-2.348e-05,4079
-2.347e-05,4079
-2.346e-05,4095
-2.345e-05,3919
-2.344e-05,2982
-2.343e-05,2823
-2.342e-05,1675
-2.341e-05,1675
-2.34e-05,1675
-2.339e-05,2934
-2.338e-05,1950
-2.337e-05,774
-2.336e-05,3014
-2.335e-05,228
-2.334e-05,196
-2.333e-05,196
-2.332e-05,3890
-2.331e-05,193
-2.33e-05,0
-2.329e-05,196
-2.328e-05,196
-2.327e-05,196
-2.326e-05,902
-2.325e-05,774
-2.324e-05,774
-2.323e-05,774
-2.322e-05,1675
-2.321e-05,1675
-2.32e-05,1675
-2.319e-05,2838
-2.318e-05,3982
-2.317e-05,2822
-2.316e-05,4079
-2.315e-05,4079
-2.314e-05,4079
-2.313e-05,4095
-2.312e-05,1271
-2.311e-05,4095
-2.31e-05,2039
-2.309e-05,2938
-2.308e-05,4087
-2.307e-05,2418
-2.306e-05,3319
-2.305e-05,3319
-2.304e-05,3319
-2.303e-05,3319
-2.302e-05,3897
-2.301e-05,4091
-2.3e-05,3897
-2.299e-05,4094
-2.298e-05,4094
-2.297e-05,4094
-2.296e-05,4093
-2.295e-05,3897
-2.294e-05,3897
-2.293e-05,3961
-2.292e-05,3319
-2.291e-05,3831
-2.29e-05,3319
-2.289e-05,3066
-2.288e-05,4086
-2.287e-05,2418
-2.286e-05,1527
-2.285e-05,1271
-2.284e-05,1271
-2.283e-05,3319
-2.282e-05,4079
-2.281e-05,4079
-2.28e-05,4079
-2.279e-05,3071
-2.278e-05,4062
-2.277e-05,2822
-2.276e-05,1935
-2.275e-05,1675
-2.274e-05,1675
-2.273e-05,1675
-2.272e-05,3959
-2.271e-05,974
-2.27e-05,774
-2.269e-05,3285
-2.268e-05,196
-2.267e-05,196
-2.266e-05,196
