Time (s),Bus
0.04004282,405
0.04004283,1574
0.04004284,3362
0.04004285,4090
0.04004286,3535
0.04004287,2284
0.04004288,958
0.04004289,67
0.0400429,921
0.04004291,1574
0.04004292,3688
0.04004293,4072
0.04004294,3171
0.04004295,1873
0.04004296,574
0.04004297,31
0.04004298,1626
0.04004299,2455
0.040043,3668
0.04004301,4008
0.04004302,2811
0.04004303,1875
0.04004304,279
0.04004305,183
0.04004306,1128
0.04004307,2965
0.04004308,3926
0.04004309,3755
0.0400431,2748
0.04004311,2965
0.04004312,4054
0.04004313,3275
0.04004314,2220
0.04004315,686
0.04004316,67
0.04004317,731
0.04004318,1574
0.04004319,986
0.0400432,67
0.04004321,401
0.04004322,1574
0.04004323,3882
0.04004324,4090
0.04004325,3431
0.04004326,2284
0.04004327,558
0.04004328,75
0.04004329,731
0.0400433,2455
0.04004331,3688
0.04004332,4008
0.04004333,2675
0.04004334,2519
0.04004335,3668
0.04004336,4008
0.04004337,2811
0.04004338,970
0.04004339,85
0.0400434,437
0.04004341,1574
0.04004342,3029
0.04004343,3926
0.04004344,3755
0.04004345,2748
0.04004346,986
0.04004347,67
0.04004348,913
0.04004349,1574
0.0400435,3362
0.04004351,4058
0.04004352,3535
0.04004353,3580
0.04004354,558
0.04004355,79
0.04004356,1755
0.04004357,1983
0.04004358,958
0.04004359,67
0.0400436,921
0.04004361,1574
0.04004362,3688
0.04004363,4072
0.04004364,3171
0.04004365,1873
0.04004366,574
0.04004367,31
0.04004368,1626
0.04004369,2455
0.0400437,3668
0.04004371,4008
0.04004372,2811
0.04004373,3031
0.04004374,3926
0.04004375,3753
0.04004376,2747
0.04004377,986
0.04004378,85
0.04004379,405
0.0400438,1574
0.04004381,1858
0.04004382,341
0.04004383,181
0.04004384,1638
0.04004385,3362
0.04004386,4058
0.04004387,3535
0.04004388,2284
0.04004389,922
0.0400439,67
0.04004391,401
0.04004392,1574
0.04004393,3882
0.04004394,4090
0.04004395,3431
0.04004396,2284
0.04004397,3624
0.04004398,4072
0.04004399,3171
0.040044,1875
0.04004401,1303
0.04004402,167
0.04004403,1638
0.04004404,2519
0.04004405,3668
0.04004406,4008
0.04004407,2811
0.04004408,970
0.04004409,85
0.0400441,437
0.04004411,1574
0.04004412,3029
0.04004413,3926
0.04004414,3755
0.04004415,2236
0.04004416,986
0.04004417,67
0.04004418,913
0.04004419,1574
0.0400442,970
0.04004421,85
0.04004422,405
0.04004423,1574
0.04004424,3362
0.04004425,4090
0.04004426,3535
0.04004427,2284
0.04004428,958
0.04004429,67
0.0400443,921
0.04004431,1574
0.04004432,3688
0.04004433,4072
0.04004434,3171
0.04004435,2519
0.04004436,3688
0.04004437,4008
0.04004438,2675
0.04004439,1858
0.0400444,277
0.04004441,167
0.04004442,1638
0.04004443,1875
0.04004444,279
0.04004445,167
0.04004446,1128
0.04004447,2965
0.04004448,3926
0.04004449,3755
0.0400445,2236
0.04004451,834
0.04004452,341
0.04004453,181
0.04004454,1638
0.04004455,3362
0.04004456,4058
0.04004457,3535
0.04004458,2284
0.04004459,3362
